occ,year,delta_e,delta_DAIOE,DAIOE_cum,pctl_cum
11-9013.03,2010,0.11993543588028456,0.01438450877979385,0.01438450877979385,48.49740932642487
11-9021.00,2010,0.15668770416975616,0.024551036637989024,0.024551036637989024,92.64248704663213
11-9031.00,2010,0.13723644886126826,0.0188338428960515,0.0188338428960515,68.9119170984456
11-9032.00,2010,0.14054136203890724,0.019751874443751198,0.019751874443751198,71.91709844559585
11-9033.00,2010,0.14626765069584494,0.02139422564008171,0.02139422564008171,80.20725388601036
11-9039.01,2010,0.14397409772001968,0.020728540814293775,0.020728540814293775,76.47668393782384
11-9039.02,2010,0.10836612501333653,0.011743217050406082,0.011743217050406082,37.61658031088083
11-9041.00,2010,0.15587640820298004,0.024297454634262063,0.024297454634262063,91.91709844559585
11-9041.01,2010,0.1422358827272311,0.020231046335194635,0.020231046335194635,73.88601036269431
11-9051.00,2010,0.10883282254333057,0.011844583262748083,0.011844583262748083,38.134715025906736
11-9061.00,2010,0.12086213590962197,0.014607655896635933,0.014607655896635933,49.015544041450774
11-9071.00,2010,0.1439971094287338,0.020735167523830738,0.020735167523830738,76.6839378238342
11-9081.00,2010,0.12522828053099463,0.01568212224474949,0.01568212224474949,54.715025906735754
11-9111.00,2010,0.1435014412583113,0.020592663643212567,0.020592663643212567,75.33678756476684
11-9121.00,2010,0.14681876328330043,0.021555749252037806,0.021555749252037806,80.93264248704664
11-9121.01,2010,0.1500506863150989,0.02251520846363221,0.02251520846363221,85.18134715025907
11-9121.02,2010,0.15927735837434268,0.025369276890708788,0.025369276890708788,95.5440414507772
11-9131.00,2010,0.13721033563190085,0.018826676204218882,0.018826676204218882,68.70466321243524
11-9141.00,2010,0.14388146643173422,0.02070187638254626,0.02070187638254626,75.95854922279793
11-9151.00,2010,0.13670102287097088,0.018687169653969705,0.018687169653969705,67.7720207253886
11-9161.00,2010,0.14708614348177723,0.02163433360434196,0.02163433360434196,81.34715025906736
11-9199.01,2010,0.14868347888655115,0.022106776893807502,0.022106776893807502,83.62694300518135
11-9199.02,2010,0.14908514069124054,0.022226379174926987,0.022226379174926987,84.24870466321244
11-9199.03,2010,0.16190870574826466,0.02621442899707815,0.02621442899707815,97.51295336787565
11-9199.04,2010,0.16112238558123854,0.025960423135389304,0.025960423135389304,96.99481865284974
11-9199.07,2010,0.13118016965083687,0.01720823690962234,0.01720823690962234,61.55440414507772
11-9199.08,2010,0.13559420346847056,0.018385788014248994,0.018385788014248994,66.42487046632124
11-9199.09,2010,0.1296339003765424,0.01680494812683532,0.01680494812683532,59.27461139896373
11-9199.10,2010,0.15034569767577588,0.0226038288096158,0.0226038288096158,85.90673575129534
11-9199.11,2010,0.156743631313886,0.02456856595746342,0.02456856595746342,92.74611398963731
13-1011.00,2010,0.1313155162710891,0.017243764813542662,0.017243764813542662,61.865284974093264
13-1021.00,2010,0.13473845508970828,0.018154451279961334,0.018154451279961334,65.49222797927462
13-1022.00,2010,0.1436471351453427,0.020634499435464346,0.020634499435464346,75.5440414507772
13-1023.00,2010,0.1506773045034071,0.02270365009241247,0.02270365009241247,86.32124352331606
13-1031.01,2010,0.15028201750792647,0.022584684786252716,0.022584684786252716,85.69948186528498
13-1031.02,2010,0.15714773692931858,0.024695411222006317,0.024695411222006317,93.26424870466322
13-1032.00,2010,0.13132812670506203,0.017247076863860827,0.017247076863860827,61.968911917098445
13-1041.01,2010,0.14652720798794686,0.021470222680743035,0.021470222680743035,80.51813471502591
13-1041.02,2010,0.11839112442038136,0.01401645834152222,0.01401645834152222,46.424870466321245
13-1041.03,2010,0.15086345261045944,0.02275978133354834,0.02275978133354834,86.83937823834196
13-1041.04,2010,0.141443663356994,0.020006309903846643,0.020006309903846643,73.47150259067358
13-1041.06,2010,0.13367637973851512,0.017869374499995695,0.017869374499995695,64.04145077720207
13-1041.07,2010,0.1560407752203044,0.024348723531353565,0.024348723531353565,92.2279792746114
13-1051.00,2010,0.15964424954268447,0.02548628641204691,0.02548628641204691,95.75129533678756
