occ,delta_e_2023,delta_DAIOE_2023,pctl_new_2023
19-4092.00,0.4258318060796608,0.18133272706906586,52.2279792746114
19-4093.00,0.298033424588347,0.0888239221718579,29.11917098445596
19-4099.01,0.41421765634513663,0.1715762668280577,50.67357512953368
19-4099.02,0.40996306495944523,0.1680697146309423,49.84455958549223
19-4099.03,0.4790297276176855,0.22946947994147393,62.7979274611399
21-1011.00,0.5504298517094862,0.302973021652927,83.10880829015544
21-1012.00,0.5461031444191033,0.298228644344432,81.03626943005182
21-1013.00,0.5947264394517124,0.3536995377829114,96.78756476683938
21-1014.00,0.6033406605390872,0.364019952659742,97.8238341968912
21-1015.00,0.5084732249916313,0.25854502053339007,69.43005181347151
21-1021.00,0.5249541481064189,0.27557685761413603,73.47150259067358
21-1022.00,0.548385403333767,0.30072655058953823,81.96891191709845
21-1023.00,0.5656503736634393,0.31996034522558847,89.22279792746114
21-1091.00,0.5177899618613391,0.268106444604367,71.81347150259067
21-1092.00,0.5129642069277541,0.26313227758901975,70.46632124352331
21-1093.00,0.46823526059349796,0.21924425926306093,60.51813471502591
21-1094.00,0.4172711116817084,0.17411518064408876,50.984455958549226
21-2011.00,0.5708734090889027,0.32589644920478567,91.0880829015544
21-2021.00,0.5652122962334756,0.31946493981351815,88.70466321243524
23-1011.00,0.5894755775437461,0.3474814565205331,95.95854922279793
23-1012.00,0.5902716445599842,0.34842061437154825,96.06217616580311
23-1021.00,0.5964763731174226,0.3557840636873148,96.99481865284974
23-1022.00,0.6148314194979013,0.37801767440180434,99.06735751295336
23-1023.00,0.6148286681835449,0.3780142912203515,98.96373056994818
23-2011.00,0.5674787984090448,0.3220321866437733,89.94818652849742
23-2091.00,0.4737212235041481,0.22441179759826702,61.55440414507772
23-2093.00,0.5705971032352464,0.3255810542204544,90.88082901554404
25-1011.00,0.59172132552519,0.3501341270812878,96.37305699481865
25-1021.00,0.5494056269315217,0.3018465429040184,82.38341968911917
25-1022.00,0.5630212734068052,0.31699295430862046,87.7720207253886
25-1031.00,0.5655253473008302,0.31981891843972454,89.01554404145078
25-1032.00,0.5613452055992831,0.3151084398493015,86.83937823834196
25-1041.00,0.5627097412856427,0.3166422529377549,87.56476683937824
25-1042.00,0.5825116577519431,0.3393198314169169,94.50777202072538
25-1043.00,0.5834474490016607,0.3404109257465454,94.71502590673575
25-1051.00,0.5778659200675166,0.33392902157547744,94.19689119170984
25-1052.00,0.5729222907999847,0.3282399512955022,91.70984455958549
25-1053.00,0.6023206305688028,0.3627901420088002,97.51295336787565
