occ,delta_e_2023,delta_DAIOE_2023,DAIOE_2023,pctl_2023
43-3031.00,0.48119334872384223,0.23154703885606523,1.9687115339103354,52.2279792746114
43-3041.00,0.4208983134648763,0.17715539027757723,1.5774085303635297,32.64248704663213
43-3051.00,0.516067857398572,0.2663260334399528,2.0872151512651502,59.27461139896373
43-3061.00,0.5915913973928352,0.3499803814692074,2.3297638793480533,76.58031088082902
43-3071.00,0.4224131540378725,0.1784328727042234,1.8581213573482036,46.63212435233161
43-4011.00,0.5097489831426029,0.2598440258149176,2.152676221868761,64.14507772020725
43-4021.00,0.5417548881598472,0.2934983588450885,2.3271368587518193,76.26943005181347
43-4031.01,0.5613570902283074,0.315121782749592,2.087296948016066,59.37823834196891
43-4031.02,0.5661396386688963,0.3205140904721484,2.0588417791161673,57.409326424870464
43-4031.03,0.5247407750223405,0.2753528809710466,2.121643437255066,61.76165803108808
43-4041.01,0.5605037279937636,0.3141644290949069,2.3300311973178416,76.6839378238342
43-4041.02,0.6268672261482091,0.3929625192187499,2.3219849745051198,75.75129533678756
43-4051.00,0.5388737785690314,0.2903849492292655,2.2489919912893828,68.60103626943005
43-4051.03,0.5224437969099197,0.2729475209296534,2.179905499464545,65.38860103626943
43-4061.00,0.5732467170470997,0.3286117986052776,2.2788035531985256,72.02072538860104
43-4071.00,0.4302993601491515,0.18515753934476917,2.0956598038524037,60.20725388601036
43-4081.00,0.4717540930214249,0.22255192428246723,1.8993132088077165,49.4300518134715
43-4111.00,0.5584056332468438,0.3118168512418086,2.1620346700279915,64.4559585492228
43-4121.00,0.4084333779498351,0.16681782422351282,1.7338297970958234,41.6580310880829
43-4131.00,0.5535781896892086,0.3064488120995814,2.342285196162856,77.72020725388602
43-4141.00,0.5253731732441396,0.2760169711646167,2.106390903320834,60.72538860103627
43-4151.00,0.48650388073790685,0.2366860259730435,2.133956306982346,63.21243523316062
43-4161.00,0.5771466468769689,0.33309825200132864,2.3510532433691367,78.96373056994818
43-4171.00,0.5009892469785355,0.25099022558812006,2.130220031798017,63.005181347150256
43-4181.00,0.44244803884523376,0.1957602670779935,1.7545809970402204,42.69430051813472
43-5011.00,0.545247979951536,0.29729535964123055,2.3441871704323978,78.03108808290155
43-5011.01,0.5443471472622967,0.29631381673260054,2.4575275569892816,87.46113989637306
43-5021.00,0.2477089880685635,0.061359742769951736,1.2436424425955652,9.844559585492227
43-5031.00,0.4981840243161464,0.24818732208383074,2.335801491311078,77.09844559585493
43-5032.00,0.5248085683555583,0.27542403341941074,2.3595093400623814,79.37823834196891
43-5041.00,0.23184306510763358,0.05375120683850242,1.1974439417471523,8.290155440414507
43-5051.00,0.3390387014849774,0.11494724110461961,1.3674045074601928,17.512953367875646
43-5052.00,0.23163593954622574,0.05365520848946275,1.1486974536636614,6.632124352331606
43-5053.00,0.23285847299822632,0.054223068447065696,1.1890438497436295,7.772020725388601
43-5061.00,0.4808173249982116,0.23118530001843585,2.1221404034424225,61.968911917098445
43-5071.00,0.2789770931405223,0.07782821849713567,1.3451160018087382,15.544041450777202
43-5081.01,0.28962465493072365,0.08388244074374074,1.1420323850591572,6.321243523316062
43-5081.02,0.2912540285549918,0.08482890914951197,1.4386021119357801,23.523316062176164
43-5081.03,0.22007639444476143,0.04843361939180622,0.9497369353552103,1.761658031088083
43-5081.04,0.28479223115928676,0.08110661492868462,1.1666868523669816,7.253886010362694
43-5111.00,0.3748677929144518,0.14052586216455235,1.6634211070829328,37.30569948186528
43-6011.00,0.5254028443548588,0.276048148856176,2.226185483950628,67.35751295336787
43-6012.00,0.5240823694410519,0.27466232995894724,2.1961901988951813,65.90673575129534
43-6013.00,0.5374596367976687,0.288862861186682,2.2382738709317374,68.18652849740933
43-6014.00,0.5535586411758904,0.3064271692204982,2.1951954041946053,65.80310880829016
43-9011.00,0.42284086332293624,0.17879439569568606,2.176884597713045,65.28497409326425
43-9021.00,0.39550223664734363,0.1564220191930514,2.060904014912554,57.61658031088083
43-9022.00,0.40531070546950526,0.16427676796818805,1.9990317695467061,53.26424870466321
43-9031.00,0.40971232326242646,0.16786418783309504,2.3425048886196693,77.8238341968912
43-9041.01,0.5389178916478193,0.29043249393813075,2.036854805063393,55.33678756476684
43-9041.02,0.5072413130503287,0.25729374966502155,2.1505757338703893,63.93782383419689
43-9051.00,0.2740791738502207,0.0751193935384195,1.3856666072902255,19.792746113989637
43-9061.00,0.47400901893738834,0.22468455003398538,2.07045486668143,58.54922279792746
43-9071.00,0.3007536753783051,0.09045277325355892,1.5334159214180927,30.155440414507773
43-9081.00,0.573270962454232,0.3286395963932015,2.4262440193137067,85.28497409326425
43-9111.00,0.5235459866384964,0.27410040012527664,2.2988084676345144,73.88601036269431
43-9111.01,0.5490987112830685,0.30150939473272664,2.6349158674716353,98.96373056994818
45-1011.05,0.2970941793804805,0.08826495142176112,1.5615599451223696,31.60621761658031
45-1011.06,0.3647653237319143,0.13305374139724824,1.6237753507112427,35.233160621761655
45-1011.07,0.3057540028428719,0.09348551025443892,1.4690761407579258,25.699481865284973
45-1011.08,0.3453833159827924,0.11928963495926943,1.5647897276689857,31.813471502590673
45-2011.00,0.41211677599615204,0.16984023705746257,1.9790893985860918,52.43523316062176
45-2021.00,0.25875214737448426,0.06695267377090683,1.29529071226603,12.849740932642487
45-2041.00,0.17623159966780091,0.03105757672147205,0.9734507193625226,2.0725388601036268
45-2091.00,0.22571594501090603,0.050947687832166355,1.3695100289040074,18.238341968911918
45-2092.01,0.18321628581372257,0.033568207387375676,0.9368496380300659,1.2435233160621761
45-2092.02,0.1872982373029093,0.03508062969677692,1.1084466691526453,5.492227979274611
45-2093.00,0.2533869856046245,0.0642049644737982,1.350579323297581,16.16580310880829
45-3011.00,0.20646867723869958,0.0426293146806983,1.1837795908586264,7.668393782383419
45-3021.00,0.21694993258318596,0.04706727324784893,1.253497886408372,10.569948186528498
45-4011.00,0.2587803632982895,0.06696727642879471,1.2934666466001903,12.746113989637307
45-4021.00,0.18166403674568535,0.033001822246737714,1.1108408107702816,5.803108808290156
45-4022.00,0.2121753987019903,0.04501839981434854,1.434623965095108,23.212435233160623
45-4023.00,0.30599920297772487,0.09363551222300287,1.6158726255426301,34.40414507772021
47-1011.00,0.353570992375039,0.12501244664906988,1.701956485829908,39.27461139896373
47-1011.03,0.35981712361720186,0.12946836244815674,1.6478383778433257,36.58031088082902
47-2011.00,0.2542545271454279,0.06464536457394514,1.332374788086591,14.507772020725389
47-2021.00,0.18587019241213307,0.03454772842732337,0.9798307933997004,2.383419689119171
47-2022.00,0.1997535549653463,0.039901482721293624,1.0031782452627718,3.4196891191709846
47-2031.01,0.2269953824500648,0.05152690365365118,1.1351126323752083,6.1139896373057
47-2031.02,0.24895365951011922,0.06197792458348037,1.2399277211553514,9.533678756476684
47-2041.00,0.2025866932535405,0.041041368283404114,1.0209971550927175,3.523316062176166
47-2042.00,0.23077684522163588,0.05325795229045088,1.0993356494211026,5.181347150259067
47-2043.00,0.16556261608772252,0.027410979845810597,1.097552361073058,5.077720207253886
47-2044.00,0.23967004054385804,0.057441728334294555,1.2482604743679369,10.259067357512953
47-2051.00,0.18203189875703962,0.03313561216509312,1.072922235100941,4.352331606217617
47-2053.00,0.17832318815685597,0.031799159434425454,1.035530461337801,3.8341968911917097
47-2061.00,0.20209939172713906,0.0408441641364796,1.0250978216075364,3.626943005181347
47-2071.00,0.2074706650832733,0.04304407687009576,1.2763990348465366,11.813471502590673
47-2072.00,0.18937972382080503,0.03586467979444439,1.3676183712014354,17.72020725388601
47-2073.00,0.228777152033576,0.05233898529259394,1.5233415106517207,29.637305699481864
47-2081.00,0.1973255832827436,0.03893738581787498,1.0706901013536951,4.1450777202072535
47-2082.00,0.17340839779971767,0.03007047242746513,0.9585746311410485,1.9689119170984455
47-2111.00,0.2901083961500056,0.08416288151672859,1.467434947439199,25.38860103626943
47-2121.00,0.20934801673145867,0.0438265921093951,1.104515671046454,5.38860103626943
47-2131.00,0.19511047079984667,0.03806809581573782,1.0318788102020735,3.7305699481865284
47-2132.00,0.2437645025168702,0.05942113268729722,1.1930194378029808,8.082901554404145
47-2141.00,0.18765493472681777,0.03521437452732624,0.980373065971017,2.4870466321243523
47-2142.00,0.17047272900947893,0.02906095133593924,1.0386057122140606,3.937823834196891
47-2151.00,0.2281957928175951,0.052073319859650795,1.2025394994876257,8.393782383419689
47-2152.01,0.25641563702233916,0.06574897890957199,1.3931046464498373,20.310880829015545
47-2152.02,0.2665367619042399,0.07104184544639748,1.3680503008058873,17.927461139896373
47-2161.00,0.18578861734631943,0.034517410335457105,0.9973784485035581,3.2124352331606216
47-2171.00,0.1687974493291294,0.02849257890002001,0.9482764127819576,1.6580310880829014
47-2181.00,0.19263823178553702,0.03710948834545828,0.9918434390154923,3.005181347150259
47-2211.00,0.24225784740003548,0.05868886462689887,1.3397411384810007,15.233160621761659
47-2221.00,0.19786563494494258,0.03915080949216528,1.077815549197283,4.5595854922279795
47-2231.00,0.2600625416530498,0.06763252557104427,1.37576373206813,18.860103626943005
47-3011.00,0.16286195038278994,0.026524014882486333,0.9772280349431974,2.2797927461139897
47-3012.00,0.20151718200571947,0.040609174643526265,1.0840167829608842,4.766839378238342
47-3013.00,0.19566049559946014,0.03828302953822636,1.1594762357152686,6.94300518134715
47-3014.00,0.15489345193448895,0.023991981452181836,0.8208083230535931,0.6217616580310881
47-3015.00,0.17941434125937442,0.03218950584953526,0.9958149938770133,3.1088082901554404
47-3016.00,0.17713525501234825,0.031376898568289645,0.9236964753733646,1.1398963730569949
47-4011.00,0.4175674706103088,0.1743625925118911,1.9783502115597347,52.33160621761658
47-4021.00,0.28179010758740436,0.07940566473412092,1.538402757448129,30.569948186528496
47-4031.00,0.1689183491159919,0.028533408668072125,0.9749314948735079,2.1761658031088085
47-4041.00,0.309435861342595,0.09575055228483367,1.532139595827221,30.05181347150259
47-4051.00,0.2249533228396217,0.05060399745658706,1.222630478209923,9.119170984455959
47-4061.00,0.21496100499031912,0.046208233666448,1.2717027365998057,11.606217616580311
47-4071.00,0.2290751994517486,0.052475447003858394,1.2603758267461587,11.191709844559586
47-4091.00,0.2609194204957673,0.06807894399184702,1.3681868782686268,18.031088082901555
47-4099.02,0.2855590086892367,0.08154394744357958,1.3649101063159241,17.098445595854923
47-4099.03,0.27308832716719994,0.07457723443497963,1.360543127935694,16.99481865284974
47-5011.00,0.22699272017550343,0.0515256950126744,1.210729090715597,8.704663212435234
47-5012.00,0.28886520727067316,0.08344310797152897,1.4877125915892422,26.632124352331605
47-5013.00,0.2541680964029555,0.06460142122910209,1.3456252534428623,15.647668393782384
47-5021.00,0.2649555542154543,0.07020144570961855,1.6324349158674387,35.5440414507772
47-5031.00,0.28920094619619446,0.08363718728077417,1.571350853754439,32.2279792746114
47-5041.00,0.2228467789333618,0.04966068688097462,1.290868536881285,12.538860103626943
47-5042.00,0.22076990603465,0.048739351410548186,1.2487894959699888,10.466321243523316
47-5051.00,0.17953485521254917,0.032232764236190994,1.0801455744961814,4.66321243523316
47-5061.00,0.19027301565786586,0.036203820487538466,1.0742685056634842,4.455958549222798
47-5071.00,0.19515359449749087,0.0380849254452911,1.0971929273860666,4.974093264248705
47-5081.00,0.2205918729546453,0.04866077441363837,1.2615594119822722,11.295336787564766
49-1011.00,0.3912829396676317,0.15310233887494354,1.7903896024145223,43.73056994818653
49-2011.00,0.32900020644249417,0.10824113583920378,1.7737944755770936,43.41968911917098
49-2021.00,0.26812412361530114,0.07189054566447328,1.3381799762904591,14.922279792746114
49-2021.01,0.33255723627480815,0.11059431539873858,1.8272691068766913,45.38860103626943
49-2022.00,0.2897821040565721,0.08397366783145399,1.467501443183791,25.59585492227979
49-2091.00,0.3768424275475846,0.14201021519995657,1.8674620800053465,47.461139896373055
49-2092.00,0.28158284760014657,0.07928890006260737,1.5711932332607867,32.12435233160622
49-2093.00,0.2943749889947491,0.08665663414565866,1.5919054154790153,33.26424870466321
49-2094.00,0.3233856108489022,0.10457825330411762,1.7021114680737572,39.37823834196891
49-2095.00,0.31040601385499883,0.09635189343734972,1.5740843380482665,32.538860103626945
49-2096.00,0.2910562179260397,0.0847137219934103,1.5229694348402116,29.533678756476682
49-2097.00,0.2934561175679722,0.08611649293806752,1.5720606747978614,32.33160621761658
49-2098.00,0.3006791621075093,0.09040795852567385,1.4894795780731593,27.253886010362695
49-3011.00,0.3141199830077628,0.09867136372479718,1.6488695769990533,36.6839378238342
49-3021.00,0.23823098608322404,0.056754002730185285,1.3103859214649403,13.471502590673575
49-3022.00,0.20472147942401886,0.04191088413755898,1.1644679845580792,7.046632124352332
49-3023.01,0.2669605784333921,0.0712679504374913,1.4118255900597216,21.55440414507772
49-3023.02,0.2834022671346056,0.08031684501703434,1.5336580323756435,30.259067357512954
49-3031.00,0.25699073616574153,0.06604423847500977,1.322286751169728,13.989637305699482
49-3041.00,0.24308646194183817,0.05909102797940074,1.318144540624559,13.678756476683938
49-3042.00,0.2493549583812788,0.062177895269329285,1.3727521881838347,18.65284974093264
49-3043.00,0.21752960650101635,0.04731912970448702,1.197209691553923,8.186528497409327
49-3051.00,0.26855603064770406,0.07212234159725056,1.365761521515437,17.202072538860104
49-3052.00,0.3026045039587494,0.09156948581612077,1.4877584329184812,26.735751295336787
49-3053.00,0.26226761321003533,0.0687843009388887,1.5209162333117991,29.326424870466322
49-3091.00,0.2824907521662531,0.07980102505945542,1.5104772440697705,28.497409326424872
49-3092.00,0.2858810169877418,0.08172795587394553,1.3881855849290083,20.0
49-3093.00,0.17968323430279892,0.03228606468951453,0.9805380145992273,2.5906735751295336
49-9011.00,0.2299973489350711,0.05289878051716085,1.166601987328339,7.150259067357513
49-9012.00,0.2946577285452947,0.08682317699147259,1.4670898246013444,25.28497409326425
49-9021.01,0.27871191923802496,0.07768033392534335,1.4261536430239685,22.797927461139896
49-9021.02,0.29307709166228435,0.08589418165722303,1.4263679176603872,22.901554404145077
49-9031.00,0.2942200444457568,0.0865654345536631,1.4778632388003061,26.321243523316063
49-9041.00,0.24585250680648554,0.06044345510303302,1.3512591482548921,16.269430051813472
49-9043.00,0.25804002862837705,0.06658465637453365,1.3904881961248652,20.207253886010363
49-9044.00,0.25727192495231666,0.06618884336867045,1.3295201558820164,14.196891191709845
49-9045.00,0.2333963622703336,0.05447386192102481,1.2414804362786238,9.637305699481866
49-9051.00,0.2609560357609096,0.06809805260004913,1.3986214295630959,20.932642487046632
49-9052.00,0.25166523156104387,0.06333538877667383,1.296569134562825,13.05699481865285
49-9061.00,0.33955476202134405,0.11529743641137159,2.0825372395279986,59.067357512953365
49-9062.00,0.34055052416929665,0.1159746595119827,1.8353252530799946,45.90673575129534
49-9063.00,0.32966305162338055,0.10867772760563968,1.655568060673741,36.994818652849744
49-9064.00,0.2989403321217481,0.08936532216906105,2.051451037877631,56.6839378238342
49-9071.00,0.2657046295579579,0.07059895016853165,1.3734729980966423,18.756476683937823
49-9081.00,0.27823291309662207,0.07741355393023244,1.4193658328872707,22.072538860103627
49-9091.00,0.2614698681664604,0.06836649195898618,1.5280752907281734,29.94818652849741
49-9092.00,0.2704170711298062,0.07312539235842265,1.3676761008374438,17.82383419689119
49-9093.00,0.19099594047750107,0.036479449278885134,1.4003126481117312,21.036269430051814
49-9094.00,0.27443637162053114,0.07531532206824226,1.600800927920074,33.47150259067357
49-9095.00,0.2300208061369549,0.052909571255894586,1.2964712735127337,12.953367875647668
49-9096.00,0.22642926609147387,0.05127021254272348,1.3194693260354562,13.782383419689118
49-9097.00,0.26188002374252195,0.06858114683538385,1.4945586124232948,27.564766839378237
49-9098.00,0.2239875351763081,0.050170415914357856,1.1898614560148708,7.875647668393782
49-9099.01,0.30174622275764873,0.09105078294850857,1.5650895236890288,31.917098445595855
51-1011.00,0.40089703846706204,0.160718435451661,1.8784872521754796,47.979274611398964
51-2011.00,0.2787143741908257,0.0776817023805836,1.4188708830474557,21.968911917098445
51-2021.00,0.2446153119296054,0.05983665083041815,1.5084552693363213,28.39378238341969
51-2022.00,0.28868624825003497,0.08333974992868082,1.6787997682938307,38.134715025906736
51-2023.00,0.2980697779358296,0.08884559251871478,1.6773796716031322,37.92746113989637
51-2031.00,0.2539226229065861,0.06447669842376033,1.4405235585591167,23.626943005181346
51-2041.00,0.23595616789316703,0.05567531316682843,1.3232922485195104,14.093264248704664
51-2091.00,0.23985714493413585,0.05753144997595505,1.3059660848083638,13.367875647668393
51-2092.00,0.25855656297607066,0.0668514962579988,1.4565741434770862,24.559585492227978
51-2093.00,0.28500321521589805,0.0812268326833995,1.926031972120674,50.362694300518136
51-3011.00,0.31970744194927037,0.10221284843774608,1.7520355426690783,42.487046632124354
51-3021.00,0.25149104103229536,0.06324774371950767,1.3833695537858677,19.481865284974095
51-3022.00,0.22469359756328877,0.05048721278593317,1.2463837248609804,10.155440414507773
51-3023.00,0.14396150229811144,0.020724914143929147,0.9503739373145355,1.8652849740932642
51-3091.00,0.28498191170087817,0.08121468999668711,1.4727212124590074,25.906735751295336
51-3092.00,0.31800689822766265,0.10112838732037899,1.5796728557139483,32.95336787564767
51-3093.00,0.2841780405156028,0.0807571587112876,1.4555582099086102,24.4559585492228
51-4011.00,0.28547326630448694,0.08149498577455251,1.5175830281300335,29.015544041450777
51-4012.00,0.3650166252665268,0.13323713672096404,1.9444730922264617,50.984455958549226
51-4021.00,0.22109314170900313,0.048882177310757335,1.3105012198706785,13.575129533678757
51-4022.00,0.26848887941158384,0.07208627836768801,1.4622270091821266,24.870466321243523
51-4023.00,0.24433638110138572,0.0597002671297216,1.3854424247303343,19.585492227979273
51-4031.00,0.2370274188772209,0.05618199729959753,1.3888897801916276,20.10362694300518
51-4032.00,0.2670096439100315,0.07129414994096182,1.489086535833162,27.04663212435233
51-4033.00,0.24384155418692943,0.05945870354829724,1.4878305694027492,26.83937823834197
51-4034.00,0.2274279045515668,0.05172345176871658,1.33472003812751,14.818652849740932
51-4035.00,0.27059009289968583,0.07321899837546061,1.4419345400818766,23.83419689119171
51-4041.00,0.2711679024217403,0.07353203130380648,1.5423119329008383,30.673575129533678
51-4051.00,0.2138137168775604,0.04571630552499756,1.2450571333796898,9.94818652849741
51-4052.00,0.2405163235982714,0.05784810191722841,1.3970778028993922,20.518134715025905
51-4061.00,0.28270925479462955,0.07992452274653478,1.611427097704037,34.30051813471503
51-4062.00,0.2914951475175672,0.08496942102628828,1.636432325006708,35.751295336787564
51-4071.00,0.17857816406944757,0.031890160682414535,1.0879748500155946,4.870466321243524
51-4072.00,0.24997687324729384,0.06248843715849361,1.3036229328120568,13.160621761658032
51-4081.00,0.28109004276416333,0.07901161214115916,1.5512006422509608,31.39896373056995
51-4111.00,0.3079601020604598,0.09483942446108883,1.71028136643696,39.79274611398964
51-4121.06,0.22747649115414387,0.051745554027801295,1.3309482229672107,14.404145077720207
51-4121.07,0.190432291999362,0.036264457836130276,1.359478407955179,16.787564766839377
51-4122.00,0.24915919635764713,0.06208030512958856,1.367458058898161,17.616580310880828
51-4191.00,0.24399468448882217,0.05953340605879988,1.3382587686560519,15.025906735751295
