occ,exposure_A,exposure_B,social_share,pctl_A,pctl_B,occ_title_onetsoc2010,daioe_allapps,pctl_rank_allapps,corr_A_vs_DAIOE,corr_B_vs_DAIOE
31-9099.01,20.154456222119666,15.200616278364718,0.16294865461493915,41.55440414507772,35.751295336787564,Speech-Language Pathology Assistants,36.064396,65.989998,0.21563178692020205,0.19664967078260237
43-6011.00,20.136473881362285,15.364086690238683,0.15530982372533927,41.45077720207254,37.72020725388601,Executive Secretaries and Executive Administrative Assistants,37.540012,71.07,0.21563178692020205,0.19664967078260237
51-9195.04,20.112029130220947,18.28154434736919,0.05006373499061555,41.347150259067355,58.96373056994819,"Glass Blowers, Molders, Benders, and Finishers",29.562634,37.009998,0.21563178692020205,0.19664967078260237
19-4061.00,20.04466097077227,16.238288301711936,0.1172036300359024,41.24352331606217,43.523316062176164,Social Science Research Assistants,44.4063,93.220001,0.21563178692020205,0.19664967078260237
25-1193.00,20.03438628129083,14.536886396753777,0.18908794271669802,41.13989637305699,30.77720207253886,"Recreation and Fitness Studies Teachers, Postsecondary",34.957355,61.959999,0.21563178692020205,0.19664967078260237
13-1023.00,20.00938440673526,14.364144985255777,0.19650454055128574,41.03626943005181,29.326424870466322,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",39.972553,79.970001,0.21563178692020205,0.19664967078260237
15-1152.00,20.007351872654752,16.970120009715572,0.08948763653999889,40.932642487046635,49.015544041450774,Computer Network Support Specialists,44.413784,93.32,0.21563178692020205,0.19664967078260237
51-6093.00,20.007057057883213,17.001040403785016,0.08840684401376259,40.829015544041454,49.119170984455955,Upholsterers,26.260674,17.129999,0.21563178692020205,0.19664967078260237
51-2091.00,19.997364657639658,17.048887519729263,0.0864712473027454,40.72538860103627,49.740932642487046,Fiberglass Laminators and Fabricators,25.952183,15.48,0.21563178692020205,0.19664967078260237
21-1091.00,19.970618218241025,14.506349182150412,0.18834060063900215,40.62176165803109,30.362694300518136,Health Educators,34.64143,60.400002,0.21563178692020205,0.19664967078260237
