occ_code_onet,aei_usage
13-1075.00,0.0297852585565856
13-1081.00,0.0532026342493495
13-1081.01,0.0978291681901651
13-1081.02,0.0578244847150265
13-1111.00,0.036563972572911996
13-1121.00,0.0526890953087188
13-1131.00,0.1332120011996266
13-1141.00,0.29518218307457783
13-1151.00,0.026806732700927
13-1161.00,0.2899440858801438
13-1199.01,0.004211019313172399
13-1199.02,0.2475257693840403
13-1199.03,0.0479645370549155
13-1199.04,0.1026050803380314
13-1199.05,0.032763784412244
13-1199.06,0.201307264727269
13-2011.01,0.21774051082745471
13-2011.02,0.0884314055766217
13-2021.01,0.020233434260853
13-2021.02,0.0186928174389606
13-2031.00,0.0254715314552868
13-2041.00,0.0088328697788494
13-2051.00,0.2321196011651168
13-2052.00,0.2749487488137245
13-2053.00,0.0143790903376621
13-2061.00,0.053099926461223496
13-2071.00,0.4474978328656701
13-2071.01,0.0942857494998125
13-2072.00,0.0805229058909077
13-2081.00,0.030196089709090303
13-2082.00,0.1182166641332076
13-2099.01,0.2969282154727223
13-2099.02,0.0787768734927628
13-2099.03,0.1526237731554704
13-2099.04,0.0213632199302404
15-1111.00,0.9732076463894099
15-1121.00,1.6096364555131482
15-1121.01,0.1745005320263419
15-1122.00,0.1576564547736522
15-1131.00,7.506501402988385
15-1132.00,3.5744193244018634
15-1133.00,7.007735265883074
15-1134.00,4.4961874869047564
15-1141.00,0.8980768993751252
15-1142.00,3.0038946793257435
15-1143.00,0.1600187339005533
15-1143.01,0.1036321582192931
15-1151.00,0.1229412223870108
15-1152.00,0.2663212946111272
15-1199.01,1.727031457341347
15-1199.02,0.913688483170301
15-1199.03,1.126550374061764
15-1199.04,0.249066386205933
15-1199.05,0.0830906005940615
15-1199.06,0.8914008931469249
15-1199.07,0.5903643661491556
15-1199.08,0.4111392758690099
15-1199.09,0.04858078378367241
15-1199.10,0.3147993706066733
15-1199.11,0.5239124272315319
15-1199.12,0.2515313731209605
15-2011.00,0.06295987412133461
15-2021.00,0.3926518740063017
15-2031.00,0.2399253930627048
15-2041.00,0.9192347037291139
15-2041.01,0.2282167052163225
15-2041.02,0.3105883512935012
15-2091.00,0.1828198628645612
17-1011.00,0.0766200099421135
17-1012.00,0.0537161731899803
17-1021.00,0.0166386616764374
17-1022.00,0.0312231675903519
17-1022.01,0.0020541557625231
17-2011.00,0.0206442654133576
17-2021.00,0.0200280186846007
17-2031.00,0.0258823626077916
17-2041.00,0.0210550965658622
17-2051.00,0.0108870255413727
17-2051.01,0.0376937582422995
17-2061.00,0.6555153397505158
17-2071.00,0.0856582952972153
17-2072.00,0.1103081644474934
17-2072.01,0.016433246100185102
17-2081.00,0.0194117719558436
17-2081.01,0.0205415576252314
17-2111.02,0.0016433246100185
17-2111.03,0.0034920647962892997
17-2112.00,0.0106816099651203
17-2112.01,0.0816526915602953
17-2121.01,0.031428583166604
17-2141.00,0.0334827389291273
17-2141.01,0.0127357657276435
17-2141.02,0.074976685332095
17-2161.00,0.1207843588363616
17-2171.00,0.0058543439231909
17-2199.01,0.07918770464526739
17-2199.02,0.0206442654133577
17-2199.03,0.16648932455250182
17-2199.04,0.0132493046682743
17-2199.05,0.0408776996742105
17-2199.06,0.1092810865662318
17-2199.07,0.14964524729981168
17-2199.08,0.1003455089992559
17-2199.09,0.1247899625732816
17-3011.01,0.0264986093365486
17-3011.02,0.00077030841094615
17-3012.01,0.0064705906519479
17-3012.02,0.02028478815491595
17-3013.00,0.0070868373807047
17-3022.00,0.2621102752979551
17-3023.01,0.15159669527420888
17-3023.03,0.0545378354949895
17-3024.00,0.016946785040815898
17-3024.01,0.0235200834808899
17-3025.00,0.0116059800582556
17-3026.00,0.016946785040815898
17-3027.00,0.010784317753246501
17-3027.01,0.0271148560653054
17-3029.01,0.1279739040051927
17-3029.02,0.0430345632248601
17-3029.03,0.0188982330152128
17-3029.04,0.14882358499480258
17-3029.05,0.01663866167643735
17-3029.06,0.01314659688014795
17-3029.07,0.2285248285807012
17-3029.08,0.0130438890920219
17-3029.09,0.0133520124564004
17-3029.11,0.0393370828523182
17-3029.12,0.0248552847265301
17-3031.02,0.0027731102794062
19-1011.00,0.013762843608905
19-1012.00,0.0842203862634493
19-1013.00,0.139888007427827
19-1020.01,0.11010274887124101
19-1021.00,0.1827171550764347
19-1022.00,0.0722035750526888
19-1023.00,0.045602257928014
19-1029.01,0.39295999737067977
19-1029.02,0.0567974068337651
19-1029.03,0.0761064710014826
19-1031.01,0.017049492828942102
19-1031.03,0.0024649869150277
19-1041.00,0.09269377878385744
19-1042.00,0.05007004671150185
19-2011.00,0.3083287799547259
19-2012.00,0.0788795812808891
19-2021.00,0.1209897744126136
19-2031.00,0.30062569584526433
19-2032.00,0.1609431039936895
19-2041.00,0.0916153470085325
19-2041.01,0.054845958859368
