occ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
11-3031.02,0.38150853561763687,0.4147104851330204,0.39995247148288976,0.5001166457206071,0.4663578947368421,0.3463524590163935,0.3181649744311866,0.5021097046413502,0.30183058288581394,0.4607653652879784,0.3446540880503145,0.43666666666666665,0.37420248096244885,0.4879594423320659,0.21632884753835074,0.2968641114982578,0.41271513874253596,0.0,0.1053954145206845,0.15584415584415579,0.26588235294117646,0.003362022592791824,0.007231063527196609,0.10758472296933837,0.006851720047449583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39148936170212767,0.20157202797202797,0.0013740458015267186,0.0,0.07142857142857142,0.0,0.0,0.027011327330816154,0.15291262135922332,0.0,0.5047039291643608,0.4071246819338422,0.4849249249249249,0.4915924826904055,0.5758795082874968,0.33245711123408966,0.4513805522208883,0.6196058486967578
11-3051.00,0.3433576820558732,0.3724569640062597,0.34862167300380226,0.35327849730209737,0.5131578947368421,0.4164071038251367,0.3181649744311866,0.4746835443037975,0.34494923758378737,0.5059914959412446,0.3773584905660377,0.33125000000000004,0.32479839841338143,0.38022813688212925,0.3028603865536911,0.32061324041811845,0.42149631190727077,0.0019433198380566818,0.3476837237636374,0.1904761904761905,0.1985294117647059,0.10112963959117804,0.07138922551503801,0.2178590640129102,0.08920521945432977,0.0800271607333398,0.05406893297418453,0.1287305590584279,0.20528709140968404,0.2035865892748852,0.1472,0.08669609079445144,0.017094017094017096,0.0,0.16323886639676113,0.08761904761904761,0.031389508928571425,0.0,0.06048811277088155,0.004153513872736335,0.17100709219858154,0.2876923076923077,0.0,0.1478129713423831,0.2619047619047619,0.0,0.0,0.1379262271275051,0.4055842098166128,0.0018624141543475748,0.3539937280944475,0.3297709923664122,0.36972972972972973,0.652080448400923,0.4317342832884197,0.3635860542335363,0.4321368547418968,0.3394278448823903
11-3051.01,0.3433576820558732,0.43818466353677626,0.3555133079847909,0.46164613451132963,0.35368421052631577,0.30540983606557376,0.41057400133402505,0.369427365883062,0.29399082748618244,0.2899110939311944,0.30157232704402515,0.316875,0.31620109641326927,0.4365019011406844,0.3083984050506729,0.5333333333333332,0.5243531202435312,0.0019433198380566818,0.2712729135515313,0.3173400673400673,0.27205882352941174,0.2781065088757396,0.2409937203922001,0.32275416890801506,0.2213807829181495,0.13580366669900087,0.059692102003499725,0.055170239596469106,0.07590447077332854,0.11208091484016285,0.0,0.055170239596469106,0.05743589743589744,0.0,0.11336032388663968,0.06984126984126983,0.046875,0.0,0.02391472052738622,0.03625851470343912,0.3425531914893617,0.33398601398601396,0.0,0.2861990950226244,0.4374603174603175,0.0,0.0,0.20040662213186172,0.3476436084142395,0.0,0.35297915513742856,0.3297709923664122,0.41081081081081083,0.3184965380811078,0.3565192513566392,0.30132816823464303,0.49242496998799523,0.36930705657978385
11-3051.02,0.3922518159806296,0.3403755868544602,0.39995247148288976,0.3870003988531092,0.35368421052631577,0.2694672131147541,0.3361743126065368,0.42194092827004215,0.23801497393281326,0.36858136838036337,0.3446540880503145,0.3515625,0.31620109641326927,0.30038022813688214,0.25786398626571416,0.3831637630662021,0.4756468797564688,0.11336032388663968,0.3559907515091101,0.20923520923520922,0.18661764705882353,0.1670252824098978,0.13270303564453614,0.2781065088757396,0.20139501779359434,0.19279270540304588,0.07962879219834451,0.09851828499369482,0.18393723390307692,0.010287620202720263,0.07406933333333336,0.010180222782681799,0.006495726495726497,0.002862595419847331,0.1451012145748988,0.000914285714285715,0.006975446428571428,0.004053333333333337,0.004164036748720107,0.0947399900315667,0.12482269503546098,0.33398601398601396,0.08945610687022901,0.20814479638009045,0.358095238095238,0.037500000000000006,0.04627650551314674,0.22396747022945107,0.3476436084142395,0.08980974922076078,0.3271997786386276,0.24885496183206104,0.3951951951951952,0.4315858885591824,0.318394920447414,0.2939955727725512,0.4321368547418968,0.3394278448823903
11-3051.03,0.4120292184670478,0.4147104851330204,0.35266159695817495,0.41390416989637346,0.3608771929824562,0.34229508196721314,0.23733602608760102,0.33996383363471966,0.25424326761005056,0.28624661770390414,0.29323270440251575,0.2985666666666667,0.25767582839074216,0.3472750316856781,0.3476837237636374,0.4343786295005807,0.5960221285563752,0.0009327935222672072,0.3083984050506729,0.372053872053872,0.32375,0.24663797740720816,0.13821146353921498,0.12641204948897256,0.14733096085409253,0.12765544669706083,0.02162757318967382,0.21571563682219416,0.2971038994196758,0.34436454994368887,0.0032000000000000028,0.09851828499369482,0.0423931623931624,0.0357824427480916,0.18951255060728742,0.10285714285714287,0.07366071428571427,0.0,0.032873974332000844,0.07310184416015948,0.19432624113475178,0.31951328671328677,0.0,0.15879336349924583,0.38095238095238093,0.0,0.052586938083121294,0.2710194597734534,0.47932679341963325,0.0,0.376351226710939,0.4075725190839694,0.39109189189189186,0.4807121661721068,0.3460814352689283,0.279007563180225,0.4474789915966387,0.44198982835346473
11-3051.04,0.3494007772600566,0.41158059467918623,0.3284790874524715,0.39509034399199283,0.3779368421052632,0.24393442622950823,0.41121322167049584,0.3930078360458107,0.23813257026380777,0.43081561654425976,0.3446540880503145,0.2916666666666667,0.2469736374352162,0.39999999999999997,0.29494102010300716,0.40418118466898956,0.5762644889357218,0.008097165991902834,0.3364346236916432,0.17316017316017313,0.15205882352941177,0.2396449704142012,0.15548789648161687,0.2283162990855299,0.1800711743772242,0.17051241633524106,0.01843259078665382,0.11916771752837328,0.25876524127271094,0.003248722169280087,0.0032000000000000028,0.08209857082807902,0.067391452991453,0.002862595419847331,0.17878542510121453,0.07936507936507936,0.07700892857142856,0.001280000000000001,0.06048811277088155,0.10765907958132581,0.1795177304964539,0.39398601398601396,0.002862595419847331,0.2963800904977375,0.2857142857142857,0.0,0.04627650551314674,0.23961661341853036,0.37545509708737873,0.012286760046043017,0.3271997786386276,0.3083358778625955,0.3483675675675676,0.5469831849653808,0.39412676732252944,0.2640195535878989,0.3814165666266507,0.25335028607755883
11-3051.06,0.37082629662034305,0.48375586854460095,0.4230608365019012,0.43906954342607296,0.4304842105263157,0.31258196721311476,0.3112725116727192,0.369427365883062,0.2795362784681118,0.44907614998067263,0.36533333333333334,0.316875,0.32479839841338143,0.38200253485424585,0.36343246386442934,0.49866666666666665,0.7189585528626624,0.17878542510121453,0.4593509442321537,0.2754930254930254,0.301,0.22189349112426035,0.15648942882610395,0.18558364712210865,0.18647686832740215,0.11882820836162576,0.10349776842767544,0.13829340058848255,0.2846417653999821,0.3865979381443299,0.0,0.0,0.0423931623931624,0.0,0.18218623481781376,0.006031746031746031,0.09765625,0.0,0.0,0.062302708091045024,0.17730496453900707,0.280979020979021,0.08945610687022901,0.2356711915535445,0.4711111111111111,0.10999999999999999,0.1484308736217133,0.2710194597734534,0.4753236245954693,0.15706359368331196,0.376351226710939,0.3297709923664122,0.3556756756756757,0.3956478733926805,0.42556019048322197,0.37527670171555066,0.5100600240096038,0.48719643992371264
11-3061.00,0.3341404358353511,0.36580594679186235,0.36876425855513306,0.5001166457206071,0.5929824561403508,0.43442622950819676,0.2148150893055659,0.43037974683544294,0.18521422131629492,0.34316196366447627,0.4490566037735848,0.328125,0.33675416768013167,0.3485424588086185,0.23709641690203243,0.27113588850174214,0.4566210045662101,0.0,0.2803621864097026,0.19047619047619047,0.15205882352941177,0.0007746100053792369,0.0,0.17667563206024742,0.0,0.0,0.0,0.0,0.0,0.0015593866412544415,0.0,0.0,0.0,0.0,0.0009327935222672072,0.0019047619047619063,0.0,0.0,0.0,0.0,0.14334751773049648,0.2692307692307692,0.0,0.0915837104072398,0.19714285714285712,0.0,0.0,0.13011908219575952,0.3008697411003236,0.003880029488224114,0.4794687327061427,0.3826972010178117,0.5007807807807808,0.6594131223211341,0.6880098933146296,0.6139319313779745,0.4747899159663866,0.5499046408137318
11-3071.01,0.3433576820558732,0.43627543035993743,0.374287072243346,0.5079732994182765,0.4857894736842105,0.3678688524590164,0.3181649744311866,0.44725738396624476,0.30183058288581394,0.4236567452647855,0.3239748427672956,0.25,0.26942578629296315,0.21596958174904943,0.20200614720053164,0.32061324041811845,0.33551399133590915,0.012307692307692304,0.20507974746635652,0.1402597402597402,0.17738235294117644,0.016675632060247445,0.023285627009324274,0.09413663259817107,0.057622775800711734,0.04546997768939762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2589503546099291,0.2692307692307692,0.0,0.10407239819004524,0.10504126984126981,0.0,0.0,0.08945686900958466,0.168554476806904,0.0,0.4794687327061427,0.3826972010178117,0.4059579579579579,0.5469831849653808,0.49795119790320796,0.44887167189325455,0.4321368547418968,0.36930705657978385
11-3071.02,0.28079028221458074,0.39480438184663535,0.30988593155893535,0.4515318217051347,0.367719298245614,0.29713114754098363,0.2779218854220707,0.18083182640144663,0.1937889537846419,0.34316196366447627,0.22822641509433964,0.25,0.2370946919378075,0.26996197718631176,0.15506451791548984,0.22276422764227644,0.3783222105139913,0.11336032388663968,0.21338677521182922,0.1558441558441558,0.1175,0.15129101667563208,0.10544132522759823,0.12049488972565897,0.09990984578884934,0.15156659229799205,0.08601875700438451,0.10151324085750314,0.13524796610520362,0.033570129082560865,0.046933333333333334,0.11493799915931062,0.09435897435897436,0.029580152671755722,0.18951255060728742,0.10285714285714287,0.10491071428571426,0.0,0.05478995722000141,0.0830702774547267,0.12482269503546098,0.16325034965034968,0.08396946564885495,0.1319758672699849,0.16,0.07744,0.0746395250212044,0.11617775196049956,0.1887810140237325,0.14485443422703348,0.3529791551374285,0.24732824427480918,0.33512552552552555,0.5281107814045499,0.3760751596589021,0.30132816823464303,0.3601440576230492,0.3989319771137953
